WORK_CATEGORY,ACTIVITY_NAME,STATE_NAME,IDA_NAME,WORK_DESCRIPTION,MP_NAME,FLAG,CONSTITUENCY_ID,LETTER_NO,ACTUAL_AMOUNT,Sno,CONSTITUENCY,ACTUAL_END_DATE,WORK_RECOMMENDATION_DTL_ID,WORK_ID,AVERAGE_RATING,FILE_STATUS,ATTACH_ID,Total_Amt
Normal/Others,WS/MP18152/2024-2025/133701-Installing community drinking water plants,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school Bajakhana Main,SARABJEET SINGH KHALSA,3,330,LN/MP18152/2024-2025/1,84500.0,11,FARIDKOT(SC),07-Apr-2025,133701,57809,0.0,,,
Normal/Others,WS/MP18152/2024-2025/133693-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Gumti Khurd,SARABJEET SINGH KHALSA,3,330,LN/MP18152/2024-2025/1,300000.0,12,FARIDKOT(SC),07-Apr-2025,133693,57810,0.0,,,
Normal/Others,WS/MP18152/2024-2025/133703-Installing community drinking water plants,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school Dhudi,SARABJEET SINGH KHALSA,3,330,LN/MP18152/2024-2025/1,84500.0,13,FARIDKOT(SC),07-Apr-2025,133703,57812,0.0,,,
Normal/Others,WS/MP18152/2024-2025/133688-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Sedha Singhwala,SARABJEET SINGH KHALSA,3,330,LN/MP18152/2024-2025/1,300000.0,14,FARIDKOT(SC),07-Apr-2025,133688,57813,0.0,,,
Normal/Others,WS/MP18152/2024-2025/133687-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Gondara,SARABJEET SINGH KHALSA,3,330,LN/MP18152/2024-2025/1,300000.0,15,FARIDKOT(SC),07-Apr-2025,133687,57814,0.0,,,
Normal/Others,WS/MP345/2024-2025/134123-Construction of rooms and halls in school and colleges,Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Construction of building for Kadamancode Tribal LP School in Kulathupuzha Grama Panchayat in  Punalur Constituency (ST),Shri NK Premachandran,3,209,LN/MP345/2024-2025/16,4740188.0,16,KOLLAM,06-Dec-2024,134123,57817,0.0,True,922338,
Normal/Others,"WS/MP18278/2024-2025/134671-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),CC Road- From the Godhan Raju ahead of the house.,KAMLESH JANGDE,3,89,LN/MP18278/2024-2025/5,500000.0,17,JANJGIR CHAMPA(SC),08-Oct-2024,134671,58482,0.0,True,767632,
Normal/Others,"WS/MP18278/2024-2025/134668-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),CC Road- Amit Sahu ahead of the house.,KAMLESH JANGDE,3,89,LN/MP18278/2024-2025/5,1500000.0,18,JANJGIR CHAMPA(SC),06-Dec-2024,134668,58483,0.0,True,922282,
Normal/Others,WS/	 MP620/2024-2025/133312-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34,Pralhad Venkatesh Joshi,3,187,LN/	 MP620/2024-2025/176,498091.0,19,DHARWAD,09-Jun-2025,133312,58590,0.0,True,1416112,
Normal/Others,WS/	 MP620/2024-2025/133166-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,Pralhad Venkatesh Joshi,3,187,LN/	 MP620/2024-2025/162,497185.0,20,DHARWAD,14-Oct-2024,133166,58602,0.0,True,782562,
Normal/Others,WS/MP672/2024-2025/136731-Lighting of public spaces,Maharashtra,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),"Installation of Highmast light and electric poles with light at Gosavi Ghat, Binaki, Nagpur",Nitin Jairam Gadkari,3,250,LN/MP672/2024-2025/53,963514.0,21,NAGPUR,23-Aug-2024,136731,58856,0.0,True,667113,
Normal/Others,WS/MP18278/2024-2025/134638-Construction of common work sheds/ common covered sitting area,Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),Construction of common sitting area (Chaburta),KAMLESH JANGDE,3,89,LN/MP18278/2024-2025/5,300000.0,22,JANJGIR CHAMPA(SC),12-Feb-2025,134638,59090,0.0,True,1121872,
Normal/Others,"WS/MP18278/2024-2025/134644-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),CC Road- Ahead from the main road towards the canal. ,KAMLESH JANGDE,3,89,LN/MP18278/2024-2025/5,1000000.0,23,JANJGIR CHAMPA(SC),12-Feb-2025,134644,59092,0.0,True,1120864,
Normal/Others,"WS/MP18278/2024-2025/134646-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),CC Road- From the road towards the Colony,KAMLESH JANGDE,3,89,LN/MP18278/2024-2025/5,999550.0,24,JANJGIR CHAMPA(SC),25-Nov-2024,134646,59093,0.0,True,889778,
Normal/Others,"WS/MP18278/2024-2025/134674-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),CC Road- Community Building to Patharri pond (Taalab).,KAMLESH JANGDE,3,89,LN/MP18278/2024-2025/5,998000.0,25,JANJGIR CHAMPA(SC),27-Nov-2024,134674,59786,0.0,True,895341,
Normal/Others,WS/MP492/2024-2025/134984-Lighting of public spaces,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Installation of 156 LED Highmast Lights for Rural and Urban areas as per enclosed List,Shri Arun Kumar Sagar ,3,477,LN/MP492/2024-2025/109,37908000.0,26,SHAHJAHANPUR(SC),25-Nov-2024,134984,60283,0.0,True,1971390,
Normal/Others,WS/MP492/2024-2025/134981-Construction of bus-sheds or bus-stops,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),15 Yatri Tin/Bus shades List for rural and Urban Areas as per enclosed List,Shri Arun Kumar Sagar ,3,477,LN/MP492/2024-2025/108,9900000.0,27,SHAHJAHANPUR(SC),25-Nov-2024,134981,60284,0.0,,,
Normal/Others,WS/MP18152/2024-2025/133697-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of Smart Classroom & Cycle Shed in Govt Primary school Machaki Mal Singh,SARABJEET SINGH KHALSA,3,330,LN/MP18152/2024-2025/1,298940.0,28,FARIDKOT(SC),07-Apr-2025,133697,60733,0.0,,,
Normal/Others,"WS/MP347/2024-2025/138112-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),"Construction of side protection wall and concreating of Erattakottu Palanirappil road in ward 8, Neduvathur Grama Panchayath (SC)",Shri Suresh Kodikunnil,3,208,LN/MP347/2024-2025/139,1254628.0,29,MAVELIKKARA(SC),09-Sep-2024,138112,61248,0.0,True,695397,
Normal/Others,"WS/MP18278/2024-2025/134672-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),CC Road- From the high school towards the Fair Ground,KAMLESH JANGDE,3,89,LN/MP18278/2024-2025/5,991511.0,30,JANJGIR CHAMPA(SC),17-Oct-2024,134672,61364,0.0,True,790920,
Normal/Others,WS/MP691/2024-2025/140096-Fitting of Sitting RCC Benches in Public Places,Maharashtra,JALGAON(DISTRICT COLLECTOR JALGAON_IDA),Mauje Bodwad Bodwad District  Seating Arrangment at various places for inner city citizens in Jalgaon.,Smt Raksha Nikhil Khadse,3,245,LN/MP691/2024-2025/1,2974718.0,31,RAVER,11-Sep-2024,140096,61468,0.0,True,703161,
Normal/Others,WS/MP18278/2024-2025/134649-Construction of culverts and bridges,Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),Construction of culverts and bridges- Between Singhra and Chhote Kot,KAMLESH JANGDE,3,89,LN/MP18278/2024-2025/5,998871.0,32,JANJGIR CHAMPA(SC),05-Mar-2025,134649,61603,0.0,True,1182021,
Normal/Others,WS/MP18328/2024-2025/138242-Lighting of public spaces,Himachal Pradesh,MANDI(DEPUTY COMMISSIONER MANDI_IDA),"Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) to the house of Jamna Devi W/o Late Sh. Devki Nandan, Village Khuiri Dom, PO- Rajgarh, Tehsil-Balh, District-Mandi, H.P. PIN-175027, Ph- 8219147679",Kangana Ranaut,3,146,LN/MP18328/2024-2025/1,14805.0,33,MANDI,16-Jun-2025,138242,61695,0.0,,,
Normal/Others,WS/MP18328/2024-2025/138243-Lighting of public spaces,Himachal Pradesh,MANDI(DEPUTY COMMISSIONER MANDI_IDA),"Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) to the house of Deepak Thakur S/o Late Sh. Devki Nandan, Village Khuiri Dom, PO- Rajgarh, Tehsil-Balh, District-Mandi, H.P. PIN-175027, Ph- 7986677538",Kangana Ranaut,3,146,LN/MP18328/2024-2025/1,14805.0,34,MANDI,16-Jun-2025,138243,61696,0.0,,,
Normal/Others,WS/MP18328/2024-2025/138244-Lighting of public spaces,Himachal Pradesh,MANDI(DEPUTY COMMISSIONER MANDI_IDA),"Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) near the house of Suneel Kumar S/o Gulaba Ram, Village Kalehri, PO- Balhara, Tehsil-Baldwara, District-Mandi, H.P. PIN-175033, Ph- 7590053551",Kangana Ranaut,3,146,LN/MP18328/2024-2025/1,14805.0,35,MANDI,16-Jun-2025,138244,61697,0.0,,,
Normal/Others,WS/MP18152/2024-2025/133695-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of Cycle Shed in Govt Primary school Lambwali,SARABJEET SINGH KHALSA,3,330,LN/MP18152/2024-2025/1,197304.0,36,FARIDKOT(SC),07-Apr-2025,133695,61705,0.0,,,
Normal/Others,WS/MP18152/2024-2025/133699-Installing community drinking water plants,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school Dhilwan kalan,SARABJEET SINGH KHALSA,3,330,LN/MP18152/2024-2025/1,84500.0,37,FARIDKOT(SC),07-Apr-2025,133699,61706,0.0,,,
Normal/Others,WS/MP18152/2024-2025/133692-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Okandwala,SARABJEET SINGH KHALSA,3,330,LN/MP18152/2024-2025/1,299155.0,38,FARIDKOT(SC),07-Apr-2025,133692,61707,0.0,,,
Normal/Others,"WS/MP777/2024-2025/136655-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Sai enclave colony Chipiyana Buzurg Ke Gali number 8, B- block main Nirmal dairy Se Rinku Sharma Ke ghar ki aur interlocking va Naali nirman Karya, 70 meter",Mahesh Sharma,3,478,LN/MP777/2024-2025/14,995219.0,39,GAUTAM BUDDHA NAGAR,09-Sep-2025,136655,61784,0.0,True,1647271,
Normal/Others,WS/MP18152/2024-2025/137630-Purchase of mobile water tankers,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Purchase of Steel mobile water tanker,SARABJEET SINGH KHALSA,3,330,LN/MP18152/2024-2025/3,200000.0,40,FARIDKOT(SC),07-Apr-2025,137630,62546,0.0,,,
Normal/Others,WS/MP18152/2024-2025/137631-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of mid-day meal Shed in Govt Primary school Ratti rori Tibbian,SARABJEET SINGH KHALSA,3,330,LN/MP18152/2024-2025/3,299155.0,41,FARIDKOT(SC),07-Apr-2025,137631,62566,0.0,,,
Normal/Others,WS/MP18152/2024-2025/137637-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of mid-day meal Shed in Govt Primary school Dana romana,SARABJEET SINGH KHALSA,3,330,LN/MP18152/2024-2025/3,299155.0,42,FARIDKOT(SC),07-Apr-2025,137637,62567,0.0,,,
Normal/Others,WS/MP18152/2024-2025/137640-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of Midday meal Shed in Govt Primary school Dod Main,SARABJEET SINGH KHALSA,3,330,LN/MP18152/2024-2025/3,299155.0,43,FARIDKOT(SC),07-Apr-2025,137640,62568,0.0,,,
Normal/Others,WS/MP18152/2024-2025/137641-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of mid-day meal Shed in Govt primary School,SARABJEET SINGH KHALSA,3,330,LN/MP18152/2024-2025/3,299155.0,44,FARIDKOT(SC),07-Apr-2025,137641,62569,0.0,,,
Normal/Others,WS/MP18152/2024-2025/137633-Purchase of mobile water tankers,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Purchase of mobile Steel water tanker in GP Mai Godri Sahib ,SARABJEET SINGH KHALSA,3,330,LN/MP18152/2024-2025/3,200000.0,45,FARIDKOT(SC),07-Apr-2025,137633,62606,0.0,,,
Normal/Others,WS/MP18152/2024-2025/137635-Street lights,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of Fixed Street Lights,SARABJEET SINGH KHALSA,3,330,LN/MP18152/2024-2025/3,200000.0,46,FARIDKOT(SC),07-Apr-2025,137635,62607,0.0,,,
Normal/Others,"WS/MP777/2024-2025/136656-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Gram Bhogpur main Mahkesh Ke Makaan Se lekar Gyano Devi Ke ghar ki ore interlocking va nali nirman karya, 80 meter",Mahesh Sharma,3,478,LN/MP777/2024-2025/14,995046.0,47,GAUTAM BUDDHA NAGAR,09-Sep-2025,136656,62689,0.0,True,1647305,
Normal/Others,"WS/MP777/2024-2025/135874-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Noida ke Shribalaji Enclave Unnati Vihar Sector 123 men Jagdeep Sing Bisht ke ghar se lekar Rajesh Rai ke ghar ki ore interloking & naali kary, 86 meter",Mahesh Sharma,3,478,LN/MP777/2024-2025/13,997045.0,48,GAUTAM BUDDHA NAGAR,09-Sep-2025,135874,62692,0.0,True,1647324,
Normal/Others,"WS/MP777/2024-2025/135877-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Gram Tigri me rakesh ke office se lekar suman agarwal ke makaan ki ore interlocking & naali kary, 75 meter",Mahesh Sharma,3,478,LN/MP777/2024-2025/13,998035.0,49,GAUTAM BUDDHA NAGAR,09-Sep-2025,135877,62693,0.0,True,1647341,
Normal/Others,"WS/MP777/2024-2025/135876-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Noida ke Salarpur men Sheela devi ki meethai ki dukan se lekar ravindra ke makan ki ore interloking & naali kary, 90 meter",Mahesh Sharma,3,478,LN/MP777/2024-2025/13,997302.0,50,GAUTAM BUDDHA NAGAR,09-Sep-2025,135876,62694,0.0,True,1647361,
Normal/Others,"WS/MP777/2024-2025/135879-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Bahlolpur Jitendra Colony near Gas Agency gali no 5 jitednra ke ghar se lekar santosh ki dukan ki ore interlocking & naali nirman kary, 95 meter",Mahesh Sharma,3,478,LN/MP777/2024-2025/13,997045.0,51,GAUTAM BUDDHA NAGAR,09-Sep-2025,135879,62695,0.0,True,1647375,
Normal/Others,"WS/MP777/2024-2025/135878-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Kakrala men Kinnu Prajapati ki dukan kea age se bahav ki gali ki ore interlocking & naali nirman kary , 76 meter",Mahesh Sharma,3,478,LN/MP777/2024-2025/13,995562.0,52,GAUTAM BUDDHA NAGAR,09-Sep-2025,135878,62696,0.0,True,1647391,
Normal/Others,"WS/MP777/2024-2025/135882-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Noida ke Sarswati Kunj chipiyana urf Tigri men Manoj Dixit ke makaan se lekar nor mohammad ke makaan ki or interlocking & naali nirman kary, 100 meter",Mahesh Sharma,3,478,LN/MP777/2024-2025/13,997224.0,53,GAUTAM BUDDHA NAGAR,09-Sep-2025,135882,62697,0.0,True,1647410,
Normal/Others,"WS/MP777/2024-2025/135881-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Kakrala colony men Suresh Gupta ke makan ke samne se rajvir ke farm house hote huye pawan singh ke makan tak interlocking & naali nirman kary, 90 meter",Mahesh Sharma,3,478,LN/MP777/2024-2025/13,998231.0,54,GAUTAM BUDDHA NAGAR,09-Sep-2025,135881,62698,0.0,True,1647452,
Normal/Others,"WS/MP777/2024-2025/135880-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Kanawani men Deepak Nagar ke makaan se lekar mohit Sharma ke makaan ki or interlocking & naali kary, 92 meter",Mahesh Sharma,3,478,LN/MP777/2024-2025/13,998269.0,55,GAUTAM BUDDHA NAGAR,09-Sep-2025,135880,62699,0.0,True,1647461,
Normal/Others,"WS/MP777/2024-2025/136650-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Main Girdharpur sampark marg chakki wali gali ki aur interlocking & naali nirmaan karya, 78 meter.",Mahesh Sharma,3,478,LN/MP777/2024-2025/14,998160.0,56,GAUTAM BUDDHA NAGAR,09-Sep-2025,136650,62765,0.0,True,1647432,
Normal/Others,"WS/MP777/2024-2025/136649-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Gram Kheda Dharampur mein madan ke ghar se lekar R G International school ki ore interlocking nali nirmaan karya, 90 meter ",Mahesh Sharma,3,478,LN/MP777/2024-2025/14,786302.0,57,GAUTAM BUDDHA NAGAR,09-Sep-2025,136649,62766,0.0,True,1647249,
Normal/Others,"WS/MP777/2024-2025/136654-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Kulesara ke Shiv enclave, greater Noida mein Shivkumar Se Aanchal Ke Makaan tak interlocking & Nalli nirman, 90 meter",Mahesh Sharma,3,478,LN/MP777/2024-2025/14,998123.0,58,GAUTAM BUDDHA NAGAR,09-Sep-2025,136654,62767,0.0,True,1647052,
Normal/Others,"WS/MP777/2024-2025/136652-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Gram Dadupur katana me Mukhya Marg School primary school se lekar Naharpul ki ore se CC Road, Nirman karya, 65 meter",Mahesh Sharma,3,478,LN/MP777/2024-2025/14,998078.0,59,GAUTAM BUDDHA NAGAR,09-Sep-2025,136652,62770,0.0,True,1647057,
Normal/Others,"WS/MP777/2024-2025/136651-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Sai Enclave Colony, Chipiyana Buzurg main Himanshu Upadhyay ke Makaan se lekar Harender Kumar ke Makaan ki ore interlocking & Nalli Nirman karya, 67 meter",Mahesh Sharma,3,478,LN/MP777/2024-2025/14,797062.0,60,GAUTAM BUDDHA NAGAR,09-Sep-2025,136651,62771,0.0,True,1647257,
Normal/Others,"WS/MP777/2024-2025/136657-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Sidipur main Tatarpur NTPC Road se lekar Jitender Sharma Ke Makaan ki ore CC Road & nali nirman, 80 meter ",Mahesh Sharma,3,478,LN/MP777/2024-2025/14,998346.0,61,GAUTAM BUDDHA NAGAR,09-Sep-2025,136657,62772,0.0,True,1647285,
Normal/Others,"WS/MP777/2024-2025/136658-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Salarpur Kalan Dadri Mai Main Road Se lekar Moolchand Pradhan Ke Makaan ki aur interlocking Naali Nirman Karya, 100 meter",Mahesh Sharma,3,478,LN/MP777/2024-2025/14,996693.0,62,GAUTAM BUDDHA NAGAR,09-Sep-2025,136658,62773,0.0,True,1647235,
Normal/Others,"WS/MP777/2024-2025/136690-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Laudana men Gaura Balmiki ke plant se lekar giri Sharma ke makaan ki ore interlocking & naali nirman, 116 meter",Mahesh Sharma,3,478,LN/MP777/2024-2025/15,998016.0,63,GAUTAM BUDDHA NAGAR,09-Sep-2025,136690,62776,0.0,True,1647219,
Normal/Others,"WS/MP777/2024-2025/136689-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Mangrouli jewar me prabhat ke ghar se lekar satyaveer ke ghar ki ore CC road & naali nirman, 100 meter",Mahesh Sharma,3,478,LN/MP777/2024-2025/15,996582.0,64,GAUTAM BUDDHA NAGAR,09-Sep-2025,136689,62777,0.0,True,1647070,
